date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2020-02-25,0.0033206273009482867,1.963240976832219,0.9123861802236856,0.540249079334072,1.1875251061170722,0.3966871543463144,4.156384770335462,241.21740713091518,3.438685592092184,6.953783269359234,2.71756088910753,2.923246342525717,0.5541975659807326,0.10629598538923957,2.693422035445402,1.7859141600288297,0.36839081695999765,1.3087236428485665,1.6525488316813284,5.128870527174191,4.525989346544328,0.13097946413519101,1.3039032284985121,0.5787800399535814,1.055621493417971,0.8553956922509736,0.02306860851176762,2.3413482502269485,0.077527677037323,0.25573436561133756,0.5184600236909392,11.59069473438046,0.06903187981294612,0.3564726999568597,6.328389114290881,2.783751106334144,0.8582331619700887,0.23738742041354333,2.2279431047990985,7.01799730690846,2.250960468049855,0.06549735019451763,2.5790155894617532,1.7553382835938116,0.25996618733501187,1.81896647386426,0.14038030938318913,0.5276141641418249,0.9462426628830554,0.5378022714207067,0.023195927851444198
2020-02-29,0.003746416592355528,2.323286550126684,1.2562448841030853,0.4599786257708449,1.5391756912353,0.40225129186050257,4.131238474597641,306.1504808800845,3.4755711177410777,7.7920989010328325,3.1429056899998584,1.9552682960330254,0.5740337767519736,0.10976018582122571,2.8753111777202514,2.7291940810271806,0.4085405246838746,1.686889611847885,2.01797713439056,5.565141222374147,4.619607080610082,0.1354617219217773,1.6172577688039937,0.6013828993765108,1.1206186616156457,0.9999163796529568,0.02456025795167316,2.1337142516374183,0.08998925536610791,0.2917883148977217,0.527408680294795,13.226572308865586,0.08983901914231451,0.33582688042177566,6.688868861496475,2.6136883324056797,0.8911255530249836,0.25934126485366404,2.604522197712851,4.850747744673755,2.474846256248817,0.0605780770584643,3.307755935293435,1.8479419718571064,0.2953270910206287,1.9158953822060059,0.19092558785839298,0.625675148014398,0.5772176457131024,0.5712467934710949,0.02274661546812995
2020-03-02,0.00424143517850617,2.232054451904501,1.2580903045687946,0.5412436054585864,1.54491291337239,0.4431583706283446,4.648983901991018,128.4285388057306,3.131247718938701,8.730186362187453,3.2644578237204027,2.1721061885163837,0.467627424927761,0.13891996389382943,3.124422828325675,1.582513120605318,0.4916967253507487,1.684231516761586,1.450561838325095,6.016097896810792,3.2620626276988975,0.13990452165267564,1.0107496247106034,0.7561584738159597,1.082248035348015,1.32310790642397,0.022530615018891642,2.061240799148008,0.11719912561938883,0.23231155516268098,0.9314713017620123,8.863684199643208,0.07122022426582353,0.5587283864918056,7.061804922233757,3.4434797560627577,0.9946707777380241,0.2901118931201936,2.532675731371015,5.355330476660523,2.87634171375228,0.07050266686714446,1.9424830690467307,1.8789626394930157,0.2944964026794352,1.9112586579038042,0.33581878905930296,0.5833383959178823,0.5121930938743133,0.5889192572972005,0.03147229012214803
2020-03-03,0.0028009949332864492,2.395571936683878,0.8636304973985067,0.6319747017388206,1.4585803687467127,0.4384819828164368,3.6755299894910904,105.01007885978224,3.1539475838194857,6.645715821330287,2.2062226900022988,2.7986716466930437,0.6015178690801486,0.10584227705983074,2.865075025282041,1.684460411658278,0.3149592323353507,1.0194916624179662,1.720953580880084,6.371171499121922,4.141608843575228,0.2133288697050918,1.2223652762920332,0.7795714364825479,1.3902601645112853,0.7498817681208421,0.025099754744564162,2.419562054453886,0.05091415980965275,0.26736023285033006,0.6818130992588131,10.806342742672122,0.07908622518900854,0.6061556859418438,4.942821566227718,3.7451072688815215,0.8133168689909726,0.26676402037459,1.9824972989756922,4.734472434786323,1.9733960922247327,0.0870670397738037,2.1767784669653825,1.9816998131986043,0.23701253655002474,2.1267504804616313,0.19091817021898172,0.3620307381441539,0.6447658149480838,0.36184439363593457,0.01824180106200468
2020-03-04,0.0031890198382825696,2.9114052137720536,0.8789612582739211,0.44711527728055844,1.125339681724731,0.5001485236323997,3.312748433092031,247.7500602922068,3.216305530511165,5.889264594737311,2.6563358243809323,1.8812940040764248,0.5598353598985712,0.13138562579342572,2.371293614160373,1.7385676524293407,0.33598001996817506,1.1409204825015515,1.9444814517672557,4.710970452933945,4.18354108285435,0.1171997357212552,1.2457400417043194,0.48567535675262974,1.0317462248914955,0.8393847576523576,0.029781218903844664,1.5059871427296614,0.07090120199202943,0.3377903051758735,0.692819076300524,10.651515852512494,0.07416631102603333,0.373767299920731,3.2301481023286076,2.4626178822686886,0.8306966443292625,0.20217641665132813,2.025606095677101,5.153664039411781,1.935363032096152,0.136461621694978,2.4416751686466363,2.7611825274641504,0.12971764939585073,2.0970258461436444,0.14616755165173922,0.4816403867769834,0.610312984295213,0.5399927718614784,0.02261562471061196
2020-03-07,0.0037279396183945712,2.098339879156566,1.0442039175876918,0.42610526581413133,1.3928411529669533,0.32705817955530625,3.6181890932247014,156.10256205911162,3.4579531026357073,6.644923085221008,2.819457341563201,2.196264714986088,0.7471483512815347,0.0912388918226622,2.7202132935476255,2.2928527283160087,0.3694233073088047,1.2989521307139669,2.079562742225322,4.924565732949415,4.255941331974725,0.11565821145577937,1.3061527162688298,0.5280219280893863,1.1740080062147558,0.9556939684649883,0.021122680598572585,2.0983518398312495,0.06857267035430992,0.20092650232043086,0.6808142220751774,11.787598555069023,0.0517520410695248,0.49877876425860934,6.120462353132625,2.4991025281734855,1.13794667124918,0.20626960287972096,2.161534750445436,3.3636247561760175,1.9585279285628716,0.06159021601803283,2.988913152333034,1.8820869362965227,0.2395187430735053,1.6643239079628362,0.18501076219197166,0.3917150707771768,0.7343913445334226,0.5516841626845421,0.02209828164355454
2020-03-09,0.002124472451108139,1.905744723079554,0.7680996342587715,0.4900619274474509,1.0732823038470027,0.3748302763835287,2.669048443644776,145.1324915578542,3.6326873130074615,3.3207707970758245,1.5272523814291619,2.2281588246273447,0.5047046054258557,0.09828659381920313,2.2742509279995065,1.5176006159103088,0.5068248080623301,1.247205501866791,1.2772947489237112,5.888660478512012,4.2997957765336245,0.14049461909223515,0.7696413064379954,0.5356357307396159,0.8559744467284222,0.6226102836303525,0.011172901536647406,1.5804443622240583,0.0698270134247948,0.1859483649422885,0.7145408367067425,8.273324168920917,0.05024861810717851,0.546945616568711,6.124547712882389,2.5979399881470737,1.130017123831701,0.2175575992750518,2.1334905600441005,4.2113195133919845,1.8983497787081678,0.06283487094960005,1.7876602631370446,1.379823811777225,0.2309717869044421,1.803393079167924,0.17297490048350028,0.3922328231577984,0.757227355371531,0.4191204911127071,0.02448724319007267
2020-03-11,0.0026127747539596013,2.599330021896371,0.8942715203176164,0.3385016116913404,1.1671675439040619,0.4041246970734895,1.678230738613476,93.74004986205874,2.535253431051435,1.6175255217768851,1.0584239734539693,2.0038101252994682,0.5565070856761757,0.10838085955063737,1.861552732370016,1.6991395848504205,0.3023709788715647,1.26765233387117,1.4208211522082115,5.165634557077632,4.730247245021605,0.16093167519394358,0.5374804459651643,0.6461288670281199,0.7167509815042201,0.5872396403255,0.009515513270085596,1.3148257513163724,0.1084540019055088,0.23974846437266073,0.8000532767027605,10.426863831095513,0.04844838831722065,0.3346493508300322,4.492699252357697,2.720133565281482,0.6294636456830575,0.23344054660924152,1.7417065756955286,3.2493863474059386,2.642330181640549,0.11237935261688048,1.0571079412790192,1.3744978668953636,0.2558894424696794,1.7850422218452067,0.13772331094612855,0.30320143257191123,0.5323224518408161,0.4174823084927586,0.016087636927080484
2020-03-12,0.003213821937389061,2.4823667280484942,0.6917551519962185,0.34487218897386507,0.7759660089139008,0.4776093398267942,1.4308651731628985,24.48028170786071,2.967358063681608,1.5192249697308389,1.095974648308422,1.6232234113567057,0.32453415809835406,0.09382297751937252,1.0158485871762504,1.176721792742846,0.24665965288060532,1.4326076341361456,0.9803522249429976,4.342288918322217,4.22111350708131,0.09652903472800078,0.49827664079093414,0.7241641185744491,0.5440893298442745,0.6519309268939373,0.008354495877233914,0.8405985561574114,0.11816193153444898,0.17810966752647484,0.9334262907452747,7.455576902463382,0.04661614442204365,0.28744153801287764,5.609858838977944,3.023554252797153,0.7238160098756284,0.12782520108753004,1.7657228406266146,2.0764222896835736,1.8716542221520132,0.06633794323525721,0.877057414976216,1.0805429880472037,0.15500498040553656,1.1767387679628099,0.16709567948625237,0.25058001096875304,0.5804448767230583,0.21717921677263896,0.02097457813443826
2020-03-15,0.0020437853682178098,1.520437767590829,0.24948365948192963,0.22965379124046137,0.6151229573344614,0.32584042658230605,1.0494942776462564,35.315918908315645,1.3819192015658583,1.0192863247621449,0.9643803633643645,1.7579873965991664,0.25748537121444537,0.04889245014542065,0.7379644161578585,0.7818155048450189,0.18156944080200121,1.9715793524078529,0.6710770698368996,4.420064307765115,2.180358152958589,0.13459364469664026,0.662634204813121,0.4617571314736083,0.5455762627263273,0.37770476654555507,0.005819462270652109,0.8051444517319848,0.05064382895989106,0.1273524417347034,0.6397533440860914,2.4741361591920223,0.055310679406355145,0.3046372319685142,5.395216394105438,2.396041502564411,0.5949957514795217,0.10528810147289258,0.744641747309521,1.7253610594444377,1.588156590696049,0.03675682474645048,0.8365678423348667,0.8846310647751268,0.07485478549499269,1.4477569832735344,0.10332771699679921,0.329325085776517,0.4502854468347819,0.24566652995745364,0.02192827535933506
